,study,ecosystem,population,latitude,longitude,acc_temp_1,acc_temp_2,limit_1,limit_2,ARR,limit_type,upper_lower,sex,mean_temp,temp_range,acc_time,taxon,phylum,common_name,model_arr,lat_slope,range_slope,lim_slope
1,Llewelyn_et_al_2017,terrestrial,HR,-19.03,146.25,23,26,38.95526,38.8125,-0.047586667,CTmax,upper,female,20.025,16.5,2,53,3,21,-0.047586667,-0.045508772,0.017586441,-0.082246983
2,Llewelyn_et_al_2017,terrestrial,HR,-19.03,146.25,23,26,38.96531,38.92424,-0.01369,CTmax,upper,male,20.025,16.5,2,53,3,21,-0.01369,-0.045508772,0.017586441,-0.082246983
3,Llewelyn_et_al_2017,terrestrial,P,-19.6,146.8,23,26,39.26471,39.11667,-0.049346667,CTmax,upper,female,24.375,17.975,2,53,3,21,-0.049346667,-0.045508772,0.017586441,-0.082246983
4,Llewelyn_et_al_2017,terrestrial,P,-19.6,146.8,23,26,39.03571,39.15556,0.03995,CTmax,upper,male,24.375,17.975,2,53,3,21,0.03995,-0.045508772,0.017586441,-0.082246983
8,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,47.8,47.33333333,-0.058333334,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
18,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,7.166666667,6.75,-0.052083333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
28,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,46.71428571,47.575,0.107589286,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
38,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,5.821052632,5.6125,-0.026069079,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
48,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,46.8,47.25,0.05625,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
58,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,5.6,6,0.05,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
68,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,46.78481013,47.26315789,0.05979347,CTmax,upper,uncertain,12.54486111,33.64875,2,103,2,3,0.083349482,-0.04068836,-0.112661972,-0.00977822
78,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,4.2125,4.864864865,0.081545608,CTmin,lower,uncertain,12.54486111,33.64875,2,103,2,3,0.132111487,-0.04068836,-0.112661972,-0.00977822
88,Diamond_et_al_2018,terrestrial,Cle_rural,41.55624395,-81.36534927,21,29,47.2,47.8,0.075,CTmax,upper,female,9.546666667,31.80571429,2,103,2,3,0.088571428,-0.04068836,-0.112661972,-0.00977822
98,Diamond_et_al_2018,terrestrial,Cle_rural,41.55624395,-81.36534927,21,29,4.666666667,5.4,0.091666667,CTmin,lower,female,9.546666667,31.80571429,2,103,2,3,0.123333333,-0.04068836,-0.112661972,-0.00977822
108,Diamond_et_al_2018,terrestrial,Cle_rural,41.55624395,-81.36534927,21,29,46.875,47.43333333,0.069791666,CTmax,upper,uncertain,9.546666667,31.80571429,2,103,2,3,0.084464237,-0.04068836,-0.112661972,-0.00977822
118,Diamond_et_al_2018,terrestrial,Cle_rural,41.55624395,-81.36534927,21,29,2.101123596,5.022222222,0.365137328,CTmin,lower,uncertain,9.546666667,31.80571429,2,103,2,3,0.397776529,-0.04068836,-0.112661972,-0.00977822
128,Diamond_et_al_2018,terrestrial,Cle_urban,41.5115159,-81.60795594,21,29,47.5,48,0.0625,CTmax,upper,female,10.36766667,32.20766667,2,103,2,3,0.061904762,-0.04068836,-0.112661972,-0.00977822
138,Diamond_et_al_2018,terrestrial,Cle_urban,41.5115159,-81.60795594,21,29,6,7.857142857,0.232142857,CTmin,lower,female,10.36766667,32.20766667,2,103,2,3,0.222857143,-0.04068836,-0.112661972,-0.00977822
148,Diamond_et_al_2018,terrestrial,Cle_urban,41.5115159,-81.60795594,21,29,46.98958333,47.8045977,0.101876796,CTmax,upper,uncertain,10.36766667,32.20766667,2,103,2,3,0.116887315,-0.04068836,-0.112661972,-0.00977822
158,Diamond_et_al_2018,terrestrial,Cle_urban,41.5115159,-81.60795594,21,29,4.315789474,6.942528736,0.328342408,CTmin,lower,uncertain,10.36766667,32.20766667,2,103,2,3,0.31768111,-0.04068836,-0.112661972,-0.00977822
168,Diamond_et_al_2018,terrestrial,Knx_rural,35.74581486,-83.82361927,21,29,47.66666667,47.4,-0.033333334,CTmax,upper,female,14.44474359,29.66205128,2,103,2,3,-0.031428572,-0.04068836,-0.112661972,-0.00977822
178,Diamond_et_al_2018,terrestrial,Knx_rural,35.74581486,-83.82361927,21,29,7,9.428571429,0.303571429,CTmin,lower,female,14.44474359,29.66205128,2,103,2,3,0.352857143,-0.04068836,-0.112661972,-0.00977822
188,Diamond_et_al_2018,terrestrial,Knx_rural,35.74581486,-83.82361927,21,29,47.48684211,47.95402299,0.05839761,CTmax,upper,uncertain,14.44474359,29.66205128,2,103,2,3,0.077324149,-0.04068836,-0.112661972,-0.00977822
198,Diamond_et_al_2018,terrestrial,Knx_rural,35.74581486,-83.82361927,21,29,3.973684211,7.512195122,0.442313864,CTmin,lower,uncertain,14.44474359,29.66205128,2,103,2,3,0.461246184,-0.04068836,-0.112661972,-0.00977822
208,Diamond_et_al_2018,terrestrial,Knx_urban,35.90566913,-83.95320703,21,29,46.75,47.6,0.10625,CTmax,upper,female,14.93666667,29.83375,2,103,2,3,0.081666666,-0.04068836,-0.112661972,-0.00977822
218,Diamond_et_al_2018,terrestrial,Knx_urban,35.90566913,-83.95320703,21,29,7.666666667,11.2,0.441666667,CTmin,lower,female,14.93666667,29.83375,2,103,2,3,0.440833333,-0.04068836,-0.112661972,-0.00977822
228,Diamond_et_al_2018,terrestrial,Knx_urban,35.90566913,-83.95320703,21,29,47.23076923,48.38356164,0.144099051,CTmax,upper,uncertain,14.93666667,29.83375,2,103,2,3,0.156370659,-0.04068836,-0.112661972,-0.00977822
238,Diamond_et_al_2018,terrestrial,Knx_urban,35.90566913,-83.95320703,21,29,5.506493506,10.13043478,0.577992659,CTmin,lower,uncertain,14.93666667,29.83375,2,103,2,3,0.592840556,-0.04068836,-0.112661972,-0.00977822
245,Llewelyn_et_al_2017,terrestrial,HR,-19.03,146.25,23,26,38.95526,38.8125,-0.047586667,CTmax,upper,female,20.025,16.5,2,53,3,21,-0.047586667,-0.045508772,0.017586441,-0.082246983
246,Llewelyn_et_al_2017,terrestrial,HR,-19.03,146.25,23,26,38.96531,38.92424,-0.01369,CTmax,upper,male,20.025,16.5,2,53,3,21,-0.01369,-0.045508772,0.017586441,-0.082246983
247,Llewelyn_et_al_2017,terrestrial,P,-19.6,146.8,23,26,39.26471,39.11667,-0.049346667,CTmax,upper,female,24.375,17.975,2,53,3,21,-0.049346667,-0.045508772,0.017586441,-0.082246983
248,Llewelyn_et_al_2017,terrestrial,P,-19.6,146.8,23,26,39.03571,39.15556,0.03995,CTmax,upper,male,24.375,17.975,2,53,3,21,0.03995,-0.045508772,0.017586441,-0.082246983
250,Fernando_et_al_2016,freshwater,Fourche,34.928639,-93.361688,25,35,39.8,43.9,0.41,CTmax,upper,uncertain,16.52,32.48,1,12,3,10,0.41,-0.010226868,-0.004828892,8.11E-05
253,Fernando_et_al_2016,freshwater,Rockefeller,29.702907,-92.745953,25,35,39.7,44.38,0.468,CTmax,upper,uncertain,21,20.375,1,12,3,10,0.468,-0.010226868,-0.004828892,8.11E-05
256,Fernando_et_al_2016,freshwater,Tupelo,31.426799,-91.455487,25,35,39.8,44.08,0.428,CTmax,upper,uncertain,19.2,26.9,1,12,3,10,0.428,-0.010226868,-0.004828892,8.11E-05
258,Chen_et_al_2001,terrestrial,Chukou,23.45,120.605,22,32,42.42424,43.95455,0.153031,CTmax,upper,uncertain,21.325,17.5,1,14,3,11,0.153031,-0.186132366,-0.210568205,-0.101119533
259,Chen_et_al_2001,terrestrial,Jentse,24.553,121.5,22,32,44.45455,43.93182,-0.052273,CTmax,upper,uncertain,19.25,18.475,1,14,3,11,-0.052273,-0.186132366,-0.210568205,-0.101119533
260,Kelley_et_al_2011,ocean,BC,49.038333,-125.203333,6,23,31.7,35.5,0.223529412,CTmax,upper,uncertain,10.4989996,17.36500001,1,18,2,16,0.223529412,0.012155145,0.01008228,-0.045098039
261,Kelley_et_al_2011,ocean,CA,37.907728,-122.6721,6,23,34.7,36.2,0.088235294,CTmax,upper,uncertain,13.04899979,3.946000099,1,18,2,16,0.088235294,0.012155145,0.01008228,-0.045098039
262,Dong_et_al_2015,intertidal,Dagong_Island,35.96667,120.5,25,30,42.43902,41.77507,-0.13279,CTmax,upper,uncertain,13.3,29.6,1,19,6,20,-0.13279,-0.004357404,-0.004723853,0.097434054
263,Dong_et_al_2015,intertidal,Nanding_Island,24.15,117.9833,25,30,42.96748,42.56098,-0.0813,CTmax,upper,uncertain,22.3,18.7,1,19,6,20,-0.0813,-0.004357404,-0.004723853,0.097434054
266,Darveau_et_al_2012,freshwater,Atlin_warm_spring,59.40388333,-133.5753361,5,25,0.214285714,8.285714286,0.403571429,CTmin,lower,uncertain,0.75,31,1,23,3,19,0.328095238,-7.89E-05,-0.005041511,-0.001374643
272,Darveau_et_al_2012,freshwater,Atlin_warm_spring,59.40388333,-133.5753361,5,25,25.84557439,35.70621469,0.493032015,CTmax,upper,uncertain,0.75,31,1,23,3,19,0.509905838,-7.89E-05,-0.005041511,-0.001374643
278,Darveau_et_al_2012,freshwater,green_lake,51.37627778,-121.2630472,5,25,-0.119047619,4.785714286,0.245238095,CTmin,lower,uncertain,4.733333333,32.76666667,1,23,3,19,0.19952381,-7.89E-05,-0.005041511,-0.001374643
284,Darveau_et_al_2012,freshwater,green_lake,51.37627778,-121.2630472,5,25,26.16195857,35.41619586,0.462711865,CTmax,upper,uncertain,4.733333333,32.76666667,1,23,3,19,0.487231638,-7.89E-05,-0.005041511,-0.001374643
290,Darveau_et_al_2012,freshwater,liard_hot_spring,59.428525,-126.0884222,5,25,0.30952381,6.119047619,0.29047619,CTmin,lower,uncertain,0.4375,39.325,1,23,3,19,0.254285714,-7.89E-05,-0.005041511,-0.001374643
296,Darveau_et_al_2012,freshwater,liard_hot_spring,59.428525,-126.0884222,5,25,26.76836158,35.94350282,0.458757062,CTmax,upper,uncertain,0.4375,39.325,1,23,3,19,0.463502825,-7.89E-05,-0.005041511,-0.001374643
298,Darveau_et_al_2012,freshwater,liard_hot_spring,59.428525,-126.0884222,10,25,27.45386064,35.94350282,0.565976145,CTmax,upper,uncertain,0.4375,39.325,1,23,3,19,0.463502825,-7.89E-05,-0.005041511,-0.001374643
300,Wood_et_al_2014,ocean,Kalmar,56.651083,16.33902,12,18,21.6,27.966,1.061,CTmax,upper,uncertain,9.597999573,18.56999958,1,44,2,17,1.061,0.173876792,-0.140561168,-0.216022925
301,Wood_et_al_2014,ocean,Malmo,55.570299,12.896592,12,18,25.629,26.738,0.184833333,CTmax,upper,uncertain,9.895999908,17.81599963,1,44,2,17,0.184833333,0.173876792,-0.140561168,-0.216022925
302,Wood_et_al_2014,ocean,Oregrund,60.348682,18.453861,12,18,20.784,28.153,1.228166667,CTmax,upper,uncertain,7.222000122,15.21299988,1,44,2,17,1.228166667,0.173876792,-0.140561168,-0.216022925
305,Underwood_et_al_2012,freshwater,Lake_Nanita,40.25667,-105.71667,10,20,27.7,29.1,0.14,CTmax,upper,uncertain,-0.5,35.025,2,76,3,10,0.14,-0.015210683,0.001310616,0.00755814
308,Underwood_et_al_2012,freshwater,Trapper_Creek,39.62333,-108.00833,10,20,28,29.6,0.16,CTmax,upper,uncertain,5,38.35,2,76,3,10,0.16,-0.015210683,0.001310616,0.00755814
310,Barria_et_al_2017,terrestrial,Carrera_Pinto,-27.1,-69.883,10,20,38.664,39.618,0.0954,CTmax,upper,uncertain,15.3,20.7,1,85,3,11,0.0954,-0.006915129,-0.073490196,-0.032100034
311,Barria_et_al_2017,terrestrial,El_Caulle,-40.65,-72.167,10,20,35.745,37.636,0.1891,CTmax,upper,uncertain,10.3,19.425,1,85,3,11,0.1891,-0.006915129,-0.073490196,-0.032100034
312,Manis_and_Claussen_1986,terrestrial,Kentucky,37.56666667,-84.3,15,20,27.3,36.7,1.88,CTmax,upper,uncertain,13.525,31.175,2,96,3,11,1.88,-0.101763238,-0.152985438,-0.097217069
313,Manis_and_Claussen_1986,terrestrial,Michigan,42.75,-83.21666667,15,20,27.1,33.9,1.36,CTmax,upper,uncertain,8.8,34.6,2,96,3,11,1.36,-0.101763238,-0.152985438,-0.097217069
314,Manis_and_Claussen_1986,terrestrial,NY-R,42.51666667,-74.11666667,15,20,26.1,33.8,1.54,CTmax,upper,uncertain,7.875,34.425,2,96,3,11,1.54,-0.101763238,-0.152985438,-0.097217069
315,Manis_and_Claussen_1986,terrestrial,Ohio,38.8,-83.4,15,20,26,35.9,1.98,CTmax,upper,uncertain,12.575,32.525,2,96,3,11,1.98,-0.101763238,-0.152985438,-0.097217069
318,Yu_et_al_2018,freshwater,Gaizhou,40.4,122.75,14,29,32.4,35.75,0.223333333,CTmax,upper,uncertain,9.225,42.1,1,98,3,10,0.2022,-0.010439122,-0.010728205,0.010376984
324,Yu_et_al_2018,freshwater,Gaizhou,40.4,122.75,14,29,0,3.76,0.250666667,CTmin,lower,uncertain,9.225,42.1,1,98,3,10,0.2516,-0.010439122,-0.010728205,0.010376984
330,Yu_et_al_2018,freshwater,Hangzhou,30.38,120.15,14,29,32.39,35.71,0.221333333,CTmax,upper,uncertain,17.5,32.35,1,98,3,10,0.2026,-0.010439122,-0.010728205,0.010376984
336,Yu_et_al_2018,freshwater,Hangzhou,30.38,120.15,14,29,0,5.27,0.351333333,CTmin,lower,uncertain,17.5,32.35,1,98,3,10,0.3562,-0.010439122,-0.010728205,0.010376984
340,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,47.8,47.2,-0.3,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
341,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,47.8,47.5,-0.075,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
342,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,47.8,47,-0.133333333,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
343,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,47.8,47.33333333,-0.058333334,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
344,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,47.2,47.5,0.15,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
345,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,47.2,47,-0.05,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
346,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,47.2,47.33333333,0.022222222,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
347,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,47.5,47,-0.25,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
348,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,47.5,47.33333333,-0.041666667,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
349,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,47,47.33333333,0.166666665,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
350,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,7.166666667,6.666666667,-0.25,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
351,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,7.166666667,7.333333333,0.041666666,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
352,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,7.166666667,8,0.138888889,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
353,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,7.166666667,6.75,-0.052083333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
354,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,6.666666667,7.333333333,0.333333333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
355,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,6.666666667,8,0.333333333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
356,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,6.666666667,6.75,0.013888889,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
357,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,7.333333333,8,0.333333334,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
358,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,7.333333333,6.75,-0.145833333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
359,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,8,6.75,-0.625,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
360,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,46.71428571,47.04807692,0.166895605,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
361,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,46.71428571,47.42105263,0.17669173,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
362,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,46.71428571,47.15662651,0.073723467,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
363,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,46.71428571,47.575,0.107589286,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
364,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,47.04807692,47.42105263,0.186487855,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
365,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,47.04807692,47.15662651,0.027137398,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
366,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,47.04807692,47.575,0.087820513,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
367,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,47.42105263,47.15662651,-0.13221306,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
368,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,47.42105263,47.575,0.038486843,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
369,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,47.15662651,47.575,0.209186745,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
370,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,5.821052632,5.529411765,-0.145820434,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
371,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,5.821052632,5.597402597,-0.055912509,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
372,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,5.821052632,5.975903614,0.025808497,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
373,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,5.821052632,5.6125,-0.026069079,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
374,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,5.529411765,5.597402597,0.033995416,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
375,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,5.529411765,5.975903614,0.111622962,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
376,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,5.529411765,5.6125,0.013848039,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
377,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,5.597402597,5.975903614,0.189250509,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
378,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,5.597402597,5.6125,0.003774351,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
379,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,5.975903614,5.6125,-0.181701807,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
380,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,23,46.8,47.8,0.5,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
381,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,25,46.8,47.42857143,0.157142858,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
382,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,27,46.8,47.4,0.1,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
383,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,46.8,47.25,0.05625,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
384,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,23,25,47.8,47.42857143,-0.185714285,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
385,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,23,27,47.8,47.4,-0.1,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
386,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,23,29,47.8,47.25,-0.091666667,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
387,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,25,27,47.42857143,47.4,-0.014285715,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
388,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,25,29,47.42857143,47.25,-0.044642857,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
389,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,27,29,47.4,47.25,-0.075,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
390,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,23,5.6,9,1.7,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
391,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,25,5.6,6,0.1,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
392,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,27,5.6,5.714285714,0.019047619,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
